N,replicate,model,strict_mean,soft_mean
100,8,Qwen2.5-7B,0.64,0.8260357
100,8,deepseek-v3,0.79,0.9239643
100,8,gemma-2-2b,0.49,0.7289167
100,8,gemma-2-9b,0.63,0.82828575
100,8,llama3.1-405b,0.74,0.89545244
100,8,llama3.3-70b,0.75,0.9195714
100,8,mistral-large,0.74,0.90935725
100,8,qwen2.5-72b,0.64,0.7898096
100,9,Llama-3.1-8B,0.61,0.825
100,9,Llama-3.2-1B,0.26,0.5051667
100,9,Llama-3.2-3B,0.51,0.72850007
100,9,Qwen2.5-0.5B,0.14,0.38607147
100,9,Qwen2.5-1.5B,0.25,0.52633333
100,9,Qwen2.5-3B,0.48,0.7211667
100,9,Qwen2.5-7B,0.64,0.82883334
100,9,deepseek-v3,0.76,0.9134167
100,9,gemma-2-2b,0.55,0.74948806
100,9,gemma-2-9b,0.67,0.82641673
100,9,llama3.1-405b,0.72,0.88625
100,9,llama3.3-70b,0.75,0.8914166
100,9,mistral-large,0.71,0.88366675
100,9,qwen2.5-72b,0.7,0.84900004
100,10,Llama-3.1-8B,0.6,0.81236917
100,10,Llama-3.2-1B,0.34,0.53446424
100,10,Llama-3.2-3B,0.52,0.7346309
100,10,Qwen2.5-0.5B,0.17,0.38326192
100,10,Qwen2.5-1.5B,0.3,0.5583691
100,10,Qwen2.5-3B,0.46,0.69990486
100,10,Qwen2.5-7B,0.58,0.76961905
100,10,deepseek-v3,0.76,0.91041654
100,10,gemma-2-2b,0.51,0.70627385
100,10,gemma-2-9b,0.63,0.79929763
100,10,llama3.1-405b,0.68,0.8464405
100,10,llama3.3-70b,0.74,0.8964167
100,10,mistral-large,0.68,0.8723453
100,10,qwen2.5-72b,0.65,0.79566664
100,11,Llama-3.1-8B,0.55,0.79611915
100,11,Llama-3.2-1B,0.38,0.6083571
100,11,Llama-3.2-3B,0.53,0.7779763
100,11,Qwen2.5-0.5B,0.24,0.4495239
100,11,Qwen2.5-1.5B,0.33,0.5862619
100,11,Qwen2.5-3B,0.51,0.74477386
100,11,Qwen2.5-7B,0.67,0.8484524
100,11,deepseek-v3,0.73,0.9009762
100,11,gemma-2-2b,0.5,0.7462621
100,11,gemma-2-9b,0.62,0.8273929
100,11,llama3.1-405b,0.72,0.8680714
100,11,llama3.3-70b,0.67,0.87046427
100,11,mistral-large,0.65,0.8751309
100,11,qwen2.5-72b,0.64,0.8132024
100,12,Llama-3.1-8B,0.57,0.7927143
100,12,Llama-3.2-1B,0.26,0.4967143
100,12,Llama-3.2-3B,0.45,0.67995244
100,12,Qwen2.5-0.5B,0.09,0.33342862
100,12,Qwen2.5-1.5B,0.29,0.53722626
100,12,Qwen2.5-3B,0.49,0.7294167
100,12,Qwen2.5-7B,0.62,0.81082153
100,12,deepseek-v3,0.79,0.92459524
100,12,gemma-2-2b,0.56,0.76575
100,12,gemma-2-9b,0.65,0.81701195
100,12,llama3.1-405b,0.68,0.8737262
100,12,llama3.3-70b,0.73,0.89599997
100,12,mistral-large,0.77,0.90042853
100,12,qwen2.5-72b,0.66,0.8226073
100,13,Llama-3.1-8B,0.59,0.7984881
100,13,Llama-3.2-1B,0.32,0.5682024
100,13,Llama-3.2-3B,0.6,0.76922625
100,13,Qwen2.5-0.5B,0.12,0.3488452
100,13,Qwen2.5-1.5B,0.33,0.59174997
100,13,Qwen2.5-3B,0.47,0.7078452
100,13,Qwen2.5-7B,0.59,0.8099047
100,13,deepseek-v3,0.77,0.9078096
100,13,gemma-2-2b,0.5,0.7300476
100,13,gemma-2-9b,0.58,0.80700004
100,13,llama3.1-405b,0.68,0.8718333
100,13,llama3.3-70b,0.72,0.892988
100,13,mistral-large,0.71,0.8866667
100,13,qwen2.5-72b,0.66,0.81841666
100,14,Llama-3.1-8B,0.53,0.73483324
100,14,Llama-3.2-1B,0.31,0.52791667
100,14,Llama-3.2-3B,0.42,0.6685833
100,14,Qwen2.5-0.5B,0.1,0.3329167
100,14,Qwen2.5-1.5B,0.33,0.5199287
100,14,Qwen2.5-3B,0.38,0.6211786
100,14,Qwen2.5-7B,0.56,0.74424994
100,14,deepseek-v3,0.69,0.86166674
100,14,gemma-2-2b,0.45,0.7055832
100,14,gemma-2-9b,0.52,0.7318333
100,14,llama3.1-405b,0.6,0.80558324
100,14,llama3.3-70b,0.66,0.8547499
100,14,mistral-large,0.6,0.81499994
100,14,qwen2.5-72b,0.52,0.72216654
100,15,Llama-3.1-8B,0.52,0.78415483
100,15,Llama-3.2-1B,0.28,0.5715
100,15,Llama-3.2-3B,0.48,0.7158691
100,15,Qwen2.5-0.5B,0.13,0.3481428
100,15,Qwen2.5-1.5B,0.3,0.5520237
100,15,Qwen2.5-3B,0.48,0.7249047
100,15,Qwen2.5-7B,0.55,0.77204764
100,15,deepseek-v3,0.78,0.9096427
100,15,gemma-2-2b,0.49,0.7400715
100,15,gemma-2-9b,0.53,0.7334643
100,15,llama3.1-405b,0.6,0.82790464
100,15,llama3.3-70b,0.65,0.85766655
100,15,mistral-large,0.72,0.8795237
100,15,qwen2.5-72b,0.67,0.83453566
100,16,Llama-3.1-8B,0.66,0.82680947
100,16,Llama-3.2-1B,0.34,0.58373815
100,16,Llama-3.2-3B,0.61,0.8349762
100,16,Qwen2.5-0.5B,0.16,0.41110715
100,16,Qwen2.5-1.5B,0.38,0.5927501
100,16,Qwen2.5-3B,0.53,0.7612619
100,16,Qwen2.5-7B,0.67,0.8636666
100,16,deepseek-v3,0.79,0.9158333
100,16,gemma-2-2b,0.49,0.6977024
100,16,gemma-2-9b,0.62,0.7859881
100,16,llama3.1-405b,0.71,0.85616666
100,16,llama3.3-70b,0.74,0.908738
100,16,mistral-large,0.75,0.8973333
100,16,qwen2.5-72b,0.67,0.81326205
100,17,Llama-3.1-8B,0.62,0.8094047
100,17,Llama-3.2-1B,0.42,0.6439048
100,17,Llama-3.2-3B,0.48,0.7480951
100,17,Qwen2.5-0.5B,0.14,0.4071786
100,17,Qwen2.5-1.5B,0.3,0.5809643
100,17,Qwen2.5-3B,0.51,0.7638571
100,17,Qwen2.5-7B,0.59,0.82252383
100,17,deepseek-v3,0.83,0.93692863
100,17,gemma-2-2b,0.56,0.7953334
100,17,gemma-2-9b,0.62,0.8095119
100,17,llama3.1-405b,0.69,0.8645238
100,17,llama3.3-70b,0.74,0.9035239
100,17,mistral-large,0.71,0.88495237
100,17,qwen2.5-72b,0.7,0.8447618
100,18,Llama-3.1-8B,0.54,0.7800834
100,18,Llama-3.2-1B,0.31,0.5654524
100,18,Llama-3.2-3B,0.44,0.7362023
100,18,Qwen2.5-0.5B,0.13,0.37770236
100,18,Qwen2.5-1.5B,0.3,0.5892024
100,18,Qwen2.5-3B,0.37,0.6895476
100,18,Qwen2.5-7B,0.59,0.8172858
100,18,deepseek-v3,0.68,0.8762739
100,18,gemma-2-2b,0.44,0.72228575
100,18,gemma-2-9b,0.6,0.79067856
100,18,llama3.1-405b,0.62,0.81717867
100,18,llama3.3-70b,0.66,0.8626668
100,18,mistral-large,0.63,0.85363096
100,18,qwen2.5-72b,0.59,0.8164048
100,19,Llama-3.1-8B,0.58,0.7811905
100,19,Llama-3.2-1B,0.29,0.54402375
100,19,Llama-3.2-3B,0.48,0.723381
100,19,Qwen2.5-0.5B,0.18,0.3999048
100,19,Qwen2.5-1.5B,0.34,0.57026196
100,19,Qwen2.5-3B,0.59,0.7683334
100,19,Qwen2.5-7B,0.62,0.825
100,19,deepseek-v3,0.79,0.91166663
100,19,gemma-2-2b,0.56,0.7663095
100,19,gemma-2-9b,0.65,0.8260714
100,19,llama3.1-405b,0.7,0.8528333
100,19,llama3.3-70b,0.74,0.8861667
100,19,mistral-large,0.74,0.8899524
100,19,qwen2.5-72b,0.67,0.8016191
100,20,Llama-3.1-8B,0.54,0.77023816
100,20,Llama-3.2-1B,0.35,0.6174881
100,20,Llama-3.2-3B,0.53,0.7443333
100,20,Qwen2.5-0.5B,0.12,0.39144042
100,20,Qwen2.5-1.5B,0.3,0.5614643
100,20,Qwen2.5-3B,0.53,0.74924994
100,20,Qwen2.5-7B,0.67,0.82322615
100,20,deepseek-v3,0.8,0.9296667
100,20,gemma-2-2b,0.5,0.73511904
100,20,gemma-2-9b,0.6,0.8069166
100,20,llama3.1-405b,0.71,0.8648215
100,20,llama3.3-70b,0.76,0.9059999
100,20,mistral-large,0.76,0.9121547
100,20,qwen2.5-72b,0.65,0.82173806
100,21,Llama-3.1-8B,0.58,0.80840474
100,21,Llama-3.2-1B,0.35,0.6000715
100,21,Llama-3.2-3B,0.49,0.7477025
100,21,Qwen2.5-0.5B,0.17,0.39552373
100,21,Qwen2.5-1.5B,0.33,0.562131
100,21,Qwen2.5-3B,0.5,0.73663086
100,21,Qwen2.5-7B,0.66,0.83123803
100,21,deepseek-v3,0.81,0.9324405
100,21,gemma-2-2b,0.54,0.74397624
100,21,gemma-2-9b,0.6,0.8055238
100,21,llama3.1-405b,0.71,0.8815237
100,21,llama3.3-70b,0.73,0.8970238
100,21,mistral-large,0.77,0.90902376
100,21,qwen2.5-72b,0.69,0.8049167
100,22,Llama-3.1-8B,0.55,0.78653574
100,22,Llama-3.2-1B,0.31,0.58566666
100,22,Llama-3.2-3B,0.49,0.752869
100,22,Qwen2.5-0.5B,0.16,0.4243809
100,22,Qwen2.5-1.5B,0.27,0.5943214
100,22,Qwen2.5-3B,0.45,0.7363929
100,22,Qwen2.5-7B,0.52,0.80267847
100,22,deepseek-v3,0.78,0.9258928
100,22,gemma-2-2b,0.47,0.729881
100,22,gemma-2-9b,0.55,0.7832143
100,22,llama3.1-405b,0.65,0.8560237
100,22,llama3.3-70b,0.69,0.8785118
100,22,mistral-large,0.7,0.8777976
100,22,qwen2.5-72b,0.51,0.7693809
100,23,Llama-3.1-8B,0.6,0.78895247
100,23,Llama-3.2-1B,0.37,0.5631904
100,23,Llama-3.2-3B,0.5,0.72923815
100,23,Qwen2.5-0.5B,0.13,0.33920234
100,23,Qwen2.5-1.5B,0.3,0.5307381
100,23,Qwen2.5-3B,0.49,0.73171425
100,23,Qwen2.5-7B,0.56,0.77428573
100,23,deepseek-v3,0.78,0.9189761
100,23,gemma-2-2b,0.53,0.72630954
100,23,gemma-2-9b,0.65,0.80888104
100,23,llama3.1-405b,0.7,0.8578571
100,23,llama3.3-70b,0.71,0.89521426
100,23,mistral-large,0.73,0.8902143
100,23,qwen2.5-72b,0.64,0.76366675
100,24,Llama-3.1-8B,0.57,0.809369
100,24,Llama-3.2-1B,0.22,0.5221429
100,24,Llama-3.2-3B,0.53,0.7610476
100,24,Qwen2.5-0.5B,0.13,0.34720242
100,24,Qwen2.5-1.5B,0.28,0.55236906
100,24,Qwen2.5-3B,0.47,0.6959762
100,24,Qwen2.5-7B,0.63,0.7731547
100,24,deepseek-v3,0.76,0.91914284
100,24,gemma-2-2b,0.52,0.7315595
100,24,gemma-2-9b,0.58,0.78848803
100,24,llama3.1-405b,0.71,0.8784882
100,24,llama3.3-70b,0.75,0.90914285
100,24,mistral-large,0.71,0.8943214
100,24,qwen2.5-72b,0.65,0.8193215
100,25,Llama-3.1-8B,0.61,0.8207381
100,25,Llama-3.2-1B,0.32,0.58103573
100,25,Llama-3.2-3B,0.52,0.76661897
100,25,Qwen2.5-0.5B,0.15,0.36146426
100,25,Qwen2.5-1.5B,0.37,0.544619
100,25,Qwen2.5-3B,0.52,0.7149643
100,25,Qwen2.5-7B,0.57,0.7859523
100,25,deepseek-v3,0.76,0.9032619
100,25,gemma-2-2b,0.55,0.7440238
100,25,gemma-2-9b,0.61,0.7885119
100,25,llama3.1-405b,0.68,0.84866655
100,25,llama3.3-70b,0.69,0.8832499
100,25,mistral-large,0.66,0.8487262
100,25,qwen2.5-72b,0.61,0.7848332
100,26,Llama-3.1-8B,0.6,0.81690484
100,26,Llama-3.2-1B,0.3,0.5568333
100,26,Llama-3.2-3B,0.5,0.7550714
100,26,Qwen2.5-0.5B,0.15,0.40410706
100,26,Qwen2.5-1.5B,0.33,0.6186191
100,26,Qwen2.5-3B,0.53,0.7499166
100,26,Qwen2.5-7B,0.66,0.8474999
100,26,deepseek-v3,0.79,0.9296667
100,26,gemma-2-2b,0.51,0.7472381
100,26,gemma-2-9b,0.61,0.79725003
100,26,llama3.1-405b,0.72,0.8740001
100,26,llama3.3-70b,0.79,0.91916674
100,26,mistral-large,0.76,0.9125001
100,26,qwen2.5-72b,0.66,0.8246666
100,27,Llama-3.1-8B,0.49,0.79030955
100,27,Llama-3.2-1B,0.32,0.57966673
100,27,Llama-3.2-3B,0.43,0.7147857
100,27,Qwen2.5-0.5B,0.18,0.4657262
100,27,Qwen2.5-1.5B,0.34,0.60057145
100,27,Qwen2.5-3B,0.5,0.73915464
100,27,Qwen2.5-7B,0.59,0.83590484
100,27,deepseek-v3,0.76,0.91041666
100,27,gemma-2-2b,0.48,0.76919043
100,27,gemma-2-9b,0.55,0.7842262
100,27,llama3.1-405b,0.74,0.89323807
100,27,llama3.3-70b,0.68,0.8823214
100,27,mistral-large,0.69,0.89649993
100,27,qwen2.5-72b,0.66,0.84676194
100,28,Llama-3.1-8B,0.73,0.85558325
100,28,Llama-3.2-1B,0.32,0.59048814
100,28,Llama-3.2-3B,0.57,0.75275004
100,28,Qwen2.5-0.5B,0.13,0.37274998
100,28,Qwen2.5-1.5B,0.31,0.57095236
100,28,Qwen2.5-3B,0.56,0.76723814
100,28,Qwen2.5-7B,0.67,0.8268452
100,28,deepseek-v3,0.85,0.936
100,28,gemma-2-2b,0.56,0.77374995
100,28,gemma-2-9b,0.72,0.8509166
100,28,llama3.1-405b,0.78,0.89858335
100,28,llama3.3-70b,0.78,0.89975
100,28,mistral-large,0.82,0.9201666
100,28,qwen2.5-72b,0.65,0.77624995
100,29,Llama-3.1-8B,0.53,0.77502394
100,29,Llama-3.2-1B,0.3,0.53410715
100,29,Llama-3.2-3B,0.51,0.73672616
100,29,Qwen2.5-0.5B,0.18,0.44183335
100,29,Qwen2.5-1.5B,0.33,0.57198817
100,29,Qwen2.5-3B,0.53,0.72915465
100,29,Qwen2.5-7B,0.59,0.8178811
100,29,deepseek-v3,0.8,0.9099762
100,29,gemma-2-2b,0.54,0.75082135
100,29,gemma-2-9b,0.55,0.7441071
100,29,llama3.1-405b,0.68,0.8451905
100,29,llama3.3-70b,0.77,0.90130943
100,29,mistral-large,0.67,0.8592976
100,29,qwen2.5-72b,0.63,0.7674881
100,30,Llama-3.1-8B,0.54,0.78697634
100,30,Llama-3.2-1B,0.25,0.52628577
100,30,Llama-3.2-3B,0.43,0.6961429
100,30,Qwen2.5-0.5B,0.12,0.36355957
100,30,Qwen2.5-1.5B,0.34,0.5764167
100,30,Qwen2.5-3B,0.37,0.6687143
100,30,Qwen2.5-7B,0.53,0.7870476
100,30,deepseek-v3,0.69,0.8906429
100,30,gemma-2-2b,0.4,0.66570234
100,30,gemma-2-9b,0.56,0.7546548
100,30,llama3.1-405b,0.67,0.8594048
100,30,llama3.3-70b,0.65,0.87939286
100,30,mistral-large,0.71,0.87799996
100,30,qwen2.5-72b,0.57,0.7979049
100,31,Llama-3.1-8B,0.61,0.82586896
100,31,Llama-3.2-1B,0.32,0.57302374
100,31,Llama-3.2-3B,0.57,0.7877737
100,31,Qwen2.5-0.5B,0.16,0.4602619
100,31,Qwen2.5-1.5B,0.34,0.6224524
100,31,Qwen2.5-3B,0.55,0.7505834
100,31,Qwen2.5-7B,0.67,0.82984525
100,31,deepseek-v3,0.8,0.92765474
100,31,gemma-2-2b,0.51,0.7447023
100,31,gemma-2-9b,0.61,0.81579757
100,31,llama3.1-405b,0.64,0.8496547
100,31,llama3.3-70b,0.7,0.8843928
100,31,mistral-large,0.74,0.89325005
100,31,qwen2.5-72b,0.67,0.8406666
100,32,Llama-3.1-8B,0.61,0.79660714
100,32,Llama-3.2-1B,0.33,0.5610953
100,32,Llama-3.2-3B,0.48,0.713012
100,32,Qwen2.5-0.5B,0.13,0.36164284
100,32,Qwen2.5-1.5B,0.41,0.60725
100,32,Qwen2.5-3B,0.5,0.7341191
100,32,Qwen2.5-7B,0.64,0.81866664
100,32,deepseek-v3,0.78,0.92704755
100,32,gemma-2-2b,0.51,0.7508332
100,32,gemma-2-9b,0.64,0.8251191
100,32,llama3.1-405b,0.72,0.8738334
100,32,llama3.3-70b,0.76,0.91045237
100,32,mistral-large,0.75,0.90885705
100,32,qwen2.5-72b,0.65,0.8054286
100,33,Llama-3.1-8B,0.47,0.7427142
100,33,Llama-3.2-1B,0.29,0.5564404
100,33,Llama-3.2-3B,0.51,0.7900118
100,33,Qwen2.5-0.5B,0.13,0.41357148
100,33,Qwen2.5-1.5B,0.28,0.57126194
100,33,Qwen2.5-3B,0.46,0.734488
100,33,Qwen2.5-7B,0.54,0.83188087
100,33,deepseek-v3,0.71,0.90010715
100,33,gemma-2-2b,0.51,0.74645233
100,33,gemma-2-9b,0.56,0.8026786
100,33,llama3.1-405b,0.7,0.8689761
100,33,llama3.3-70b,0.65,0.8614643
100,33,mistral-large,0.61,0.84551185
100,33,qwen2.5-72b,0.65,0.8196428
100,34,Llama-3.1-8B,0.6,0.833369
100,34,Llama-3.2-1B,0.31,0.62407154
100,34,Llama-3.2-3B,0.57,0.77854764
100,34,Qwen2.5-0.5B,0.21,0.43580958
100,34,Qwen2.5-1.5B,0.39,0.63529754
100,34,Qwen2.5-3B,0.56,0.75128573
100,34,Qwen2.5-7B,0.63,0.8460595
100,34,deepseek-v3,0.76,0.9154881
100,34,gemma-2-2b,0.53,0.7329523
100,34,gemma-2-9b,0.61,0.8001429
100,34,llama3.1-405b,0.66,0.8472261
100,34,llama3.3-70b,0.71,0.88955957
100,34,mistral-large,0.64,0.8585595
100,34,qwen2.5-72b,0.66,0.8421547
100,35,Llama-3.1-8B,0.53,0.77508324
100,35,Llama-3.2-1B,0.26,0.5379525
100,35,Llama-3.2-3B,0.47,0.7044406
100,35,Qwen2.5-0.5B,0.14,0.41219047
100,35,Qwen2.5-1.5B,0.29,0.578381
100,35,Qwen2.5-3B,0.44,0.6950119
100,35,Qwen2.5-7B,0.52,0.7859762
100,35,deepseek-v3,0.71,0.8818333
100,35,gemma-2-2b,0.4,0.6574524
100,35,gemma-2-9b,0.53,0.7848571
100,35,llama3.1-405b,0.68,0.86094046
100,35,llama3.3-70b,0.68,0.8800953
100,35,mistral-large,0.66,0.86327386
100,35,qwen2.5-72b,0.54,0.7825833
100,36,Llama-3.1-8B,0.53,0.7885478
100,36,Llama-3.2-1B,0.29,0.5630953
100,36,Llama-3.2-3B,0.48,0.73316675
100,36,Qwen2.5-0.5B,0.19,0.45652387
100,36,Qwen2.5-1.5B,0.3,0.55060714
100,36,Qwen2.5-3B,0.51,0.74134535
100,36,Qwen2.5-7B,0.64,0.8422977
100,36,deepseek-v3,0.77,0.9275477
100,36,gemma-2-2b,0.53,0.7544406
100,36,gemma-2-9b,0.6,0.81873816
100,36,llama3.1-405b,0.64,0.828262
100,36,llama3.3-70b,0.67,0.88301194
100,36,mistral-large,0.69,0.8975357
100,36,qwen2.5-72b,0.58,0.78840494
100,37,Llama-3.1-8B,0.43,0.7078809
100,37,Llama-3.2-1B,0.27,0.4952976
100,37,Llama-3.2-3B,0.44,0.69134516
100,37,Qwen2.5-0.5B,0.14,0.3903809
100,37,Qwen2.5-1.5B,0.32,0.5626309
100,37,Qwen2.5-3B,0.5,0.69661903
100,37,Qwen2.5-7B,0.64,0.806
100,37,deepseek-v3,0.8,0.9182382
100,37,gemma-2-2b,0.37,0.67116666
100,37,gemma-2-9b,0.47,0.70405954
100,37,llama3.1-405b,0.69,0.8499405
100,37,llama3.3-70b,0.71,0.8776548
100,37,mistral-large,0.64,0.83347625
100,37,qwen2.5-72b,0.58,0.74023813
100,38,Llama-3.1-8B,0.62,0.8265477
100,38,Llama-3.2-1B,0.37,0.6016309
100,38,Llama-3.2-3B,0.53,0.7461785
100,38,Qwen2.5-0.5B,0.14,0.3657738
100,38,Qwen2.5-1.5B,0.32,0.55622613
100,38,Qwen2.5-3B,0.49,0.7168333
100,38,Qwen2.5-7B,0.57,0.77463096
100,38,deepseek-v3,0.81,0.9252501
100,38,gemma-2-2b,0.52,0.7390238
100,38,gemma-2-9b,0.63,0.822631
100,38,llama3.1-405b,0.73,0.8727976
100,38,llama3.3-70b,0.77,0.9074881
100,38,mistral-large,0.75,0.8997143
100,38,qwen2.5-72b,0.69,0.8228929
100,39,Llama-3.1-8B,0.63,0.79713094
100,39,Llama-3.2-1B,0.35,0.5394167
100,39,Llama-3.2-3B,0.55,0.76595235
100,39,Qwen2.5-0.5B,0.12,0.38726193
100,39,Qwen2.5-1.5B,0.37,0.5723215
100,39,Qwen2.5-3B,0.53,0.7767143
100,39,Qwen2.5-7B,0.65,0.81830955
100,39,deepseek-v3,0.83,0.9352381
100,39,gemma-2-2b,0.55,0.727512
100,39,gemma-2-9b,0.65,0.82465494
100,39,llama3.1-405b,0.66,0.8534881
100,39,llama3.3-70b,0.73,0.88173795
100,39,mistral-large,0.73,0.89865476
100,39,qwen2.5-72b,0.64,0.7928215
100,40,Llama-3.1-8B,0.49,0.75095236
100,40,Llama-3.2-1B,0.3,0.5882381
100,40,Llama-3.2-3B,0.52,0.73375
100,40,Qwen2.5-0.5B,0.15,0.37846434
100,40,Qwen2.5-1.5B,0.31,0.52911913
100,40,Qwen2.5-3B,0.47,0.68222624
100,40,Qwen2.5-7B,0.6,0.8070833
100,40,deepseek-v3,0.75,0.9025476
100,40,gemma-2-2b,0.5,0.7158333
100,40,gemma-2-9b,0.63,0.8016429
100,40,llama3.1-405b,0.7,0.8653929
100,40,llama3.3-70b,0.71,0.8877262
100,40,mistral-large,0.67,0.8622738
100,40,qwen2.5-72b,0.66,0.8137262
100,41,Llama-3.1-8B,0.53,0.76620233
100,41,Llama-3.2-1B,0.36,0.59946436
100,41,Llama-3.2-3B,0.46,0.7135238
100,41,Qwen2.5-0.5B,0.14,0.38297614
100,41,Qwen2.5-1.5B,0.28,0.56427383
100,41,Qwen2.5-3B,0.57,0.76944053
100,41,Qwen2.5-7B,0.63,0.8510476
